"subbasin","opcat_id","opcat_name"
5782,3283,"Lower Swale"
5783,3489,"Upper Derwent Yorkshire"
5784,3283,"Lower Swale"
5785,3507,"Upper Wharfe"
5786,3507,"Upper Wharfe"
5787,3497,"Upper Nidd"
5788,3283,"Lower Swale"
5789,3387,"Rye"
5790,3387,"Rye"
5791,3505,"Upper Ure"
5792,3309,"Middle and Lower Ure"
5793,3387,"Rye"
5794,3489,"Upper Derwent Yorkshire"
5795,3505,"Upper Ure"
5796,3489,"Upper Derwent Yorkshire"
5797,3283,"Lower Swale"
5798,3387,"Rye"
5799,3283,"Lower Swale"
5800,3507,"Upper Wharfe"
5801,3283,"Lower Swale"
5802,3283,"Lower Swale"
5803,3309,"Middle and Lower Ure"
5804,3283,"Lower Swale"
5805,3387,"Rye"
5806,3309,"Middle and Lower Ure"
5807,3489,"Upper Derwent Yorkshire"
5808,3309,"Middle and Lower Ure"
5809,3283,"Lower Swale"
5810,3283,"Lower Swale"
5811,3489,"Upper Derwent Yorkshire"
5812,3283,"Lower Swale"
5813,3489,"Upper Derwent Yorkshire"
5814,3489,"Upper Derwent Yorkshire"
5815,3387,"Rye"
5816,3489,"Upper Derwent Yorkshire"
5817,3309,"Middle and Lower Ure"
5818,3387,"Rye"
5819,3497,"Upper Nidd"
5820,3387,"Rye"
5821,3387,"Rye"
5822,3505,"Upper Ure"
5823,3283,"Lower Swale"
5824,3283,"Lower Swale"
5825,3507,"Upper Wharfe"
5826,3489,"Upper Derwent Yorkshire"
5827,3387,"Rye"
5828,3489,"Upper Derwent Yorkshire"
5829,3387,"Rye"
5830,3283,"Lower Swale"
5831,3309,"Middle and Lower Ure"
5832,3309,"Middle and Lower Ure"
5833,3283,"Lower Swale"
5834,3283,"Lower Swale"
5835,3387,"Rye"
5836,3309,"Middle and Lower Ure"
5837,3387,"Rye"
5838,3309,"Middle and Lower Ure"
5839,3387,"Rye"
5840,3283,"Lower Swale"
5841,3507,"Upper Wharfe"
5842,3507,"Upper Wharfe"
5843,3283,"Lower Swale"
5844,3387,"Rye"
5845,3387,"Rye"
5846,3309,"Middle and Lower Ure"
5847,3387,"Rye"
5848,3387,"Rye"
5849,3283,"Lower Swale"
5850,3489,"Upper Derwent Yorkshire"
5851,3507,"Upper Wharfe"
5852,3283,"Lower Swale"
5853,3283,"Lower Swale"
5854,3489,"Upper Derwent Yorkshire"
5855,3283,"Lower Swale"
5856,3497,"Upper Nidd"
5857,3505,"Upper Ure"
5858,3283,"Lower Swale"
5859,3489,"Upper Derwent Yorkshire"
5860,3309,"Middle and Lower Ure"
5861,3387,"Rye"
5862,3489,"Upper Derwent Yorkshire"
5863,3505,"Upper Ure"
